Column1;First name;Last name;Published
597;David;Lammy;True
599;Prince;William;True
601;Morra;Aarons-Mele;True
603;Cynthia;Erivo;True
604;Kristen;Bell;False
605;;Sigrid;False
606;Brent;Loken;False
607;Ernestine;Leikeki Sevidzem;True
608;Yemi;Alade;False
609;Raye;Zaragoza;False
612;Aparna;Nancherla;True
613;Elif;Shafak;True
614;Olafur;Eliasson;True
615;Prince;Royce;False
619;Jesper;Brodin;True
620;Cassie;Flynn;False
621;Gokul;Upadhyayula;True
622;Cindy;Aaronson;False
623;Jessy Kate;Schingler;True
624;YeYoon;Kim;True
625;Elyse;Cox;False
626;Nathan;Horowitz;False
627;Nirupa;Rao;True
628;Dexter;Dias;True
630;Frederick Streeter;Barrett;True
631;John;Biewen;True
632;Camilo;Ramirez;False
633;Colombe;Cahen-Salvador;True
634;Hyunsoo;No;False
635;Khulan;Batkhuyag;True
636;Antonio Mu????oz;Fern????ndez;False
637;Philip;Lubin;True
639;Hasan Kwame;Jeffries;True
640;Reed;Hastings;True
641;Laurence;Hurst;False
642;Dannagal G.;Young;True
643;Nina;Medvinskaya;False
644;Lewis;Carroll;False
645;Xiye;Bastida;True
646;Sheku;Kanneh-Mason;False
647;Kid;Cudi;False
648;Barry;Schwartz;True
649;Liene;Ozoli????a;True
651;Kiah;Williams;True
653;Keith;Payne;True
654;Emily;King;True
655;Neal;Katyal;True
656;Leah;Garc????s;True
657;Jacqueline;Novogratz;True
658;Daniel;Schacter;False
659;Ya????l;Eisenstat;True
660;Shameran;Abed;True
661;Joseph;Isaac;False
662;Christiane-Marie;Abu Sarah;True
663;;;
664;Dan;Katz;False
665;Abigail;Disney;True
667;David;Epstein;True
668;Noah;Bressman;False
669;Riitta;Ikonen;True
670;Bob;Schneider;False
671;"Elizabeth ""Zibi""";Turtle;True
672;Lucas;Husted;False
673;Wanda;Irving;True
674;Susannah;Temko;True
676;R.;Saravanan;False
677;Michael;Sandel;True
678;Michael;Corballis;False
679;Menno;Schilthuizen;True
680;Ted;Dintersmith;False
681;Caitlin;Holman;False
682;Madame;Gandhi;True
683;Takis;Pappas;False
684;Erin;Baumgartner;True
686;Kate;Slabosky;False
687;Joseph;Shin;True
688;Refik;Anadol;True
689;Gina;Brillon;True
690;Marc;Fagelson;False
691;Rebecca;Firth;True
692;;Shawnee;False
693;Denise;Zmekhol;False
694;Daniel Alexander;Jones;True
695;;Lucius;False
696;Jan;Stejskal;False
697;Heidi;Larson;True
698;Dallas;Taylor;True
700;Jose Antonio;Vargas;True
703;Julia;Watson;True
704;Chris;Fisher;True
705;Mike;Gil;True
709;George;Siedel;False
714;;TED Ideas Studio;False
716;Debbie;Millman;True
717;David;Brenner;True
718;Gareth;Gaskell;False
719;Ethan;Hawke;True
720;Yann;LeCun;True
721;Eric;Yuan;True
723;Wesley;Saint Clair;False
724;Antionette;Carroll;False
725;Mary L.;Gray;True
727;Kwame;Owusu-Kesse;True
728;Philip;Freeman;False
729;Aaron;Maniam;True
730;John;Lewis;True
731;Tom;Teves;True
732;Michelle;Greene;True
733;Javier;Olivares;False
734;Chlo????;Valdary;True
736;Shari;Davis;True
737;Dwinita;Mosby Tyler;True
738;Eric;Garcetti;True
740;"William ""Sandy""";Darity;True
741;Susan;Lupack;False
742;Ariel;Waldman;True
743;Thomas;Abt;True
744;Steven;Anderson;False
745;Christina;Agapakis;True
746;Ahmad M.;Hasnah;False
747;Malala;Yousafzai;True
748;Darren;Walker;True
749;Honor;Harger;True
751;Jane;Goodall;True
752;Ali;Kashani;True
753;Anne;Pasternak;True
754;Will;Cathcart;True
756;Mariana;Mazzucato;True
757;Rufus;Wainwright;True
758;Craig;Silliman;False
759;Pratik;Aghor;False
760;Adeola;Fayehun;True
761;Dustin;Tahmahkera;False
763;Cameron;Morin;False
765;D-L;Stewart;True
766;Titus;Kaphar;True
768;Shekinah;Elmore;True
769;Aparna;Pallavi;True
770;Tracy;Edwards;True
771;Jerome;Kim;True
773;Ellen;Johnson Sirleaf;True
774;James;Ludwig;False
775;Matt;Trombley;True
776;Jad;Abumrad;True
778;Rebekah;Bergman;False
779;Nir;Eyal;True
780;Swizz;Beatz;True
781;Ashraf;Ghani;True
783;Farish;Ahmad-Noor;True
784;Constantine;Vaporis;False
785;Audrey;Tang;True
786;Hari;Nef;False
787;Panti;Bliss;False
788;Lynne;Elvins;False
789;Thomas;Lloyd;False
790;Chrystina;Russell;True
791;Jennifer L.;Eberhardt;True
792;Krishna;Sudhir;False
793;Ofer;Levy;True
794;Katherine;Eban;True
797;Russell;Wilson;True
798;Rich;Lesser;False
800;Lucy;Hone;True
801;Louis;Schwartzberg;False
802;;OK Go;True
803;Shantell;Martin;True
804;Veronica;Barassi;True
807;Ibram X.;Kendi;True
809;Michael;Green;True
810;Prosanta;Chakrabarty;True
811;Dr. Phillip Atiba;Goff;True
812;Rashad;Robinson;True
813;Dr. Bernice;King;True
814;Anthony D.;Romero;True
816;Marcelo;Mena;True
817;Anastasia;Penright;True
818;Peggy;McIntosh;False
819;Gabriel;Prieto;False
821;Megan Ming;Francis;False
822;Sunil;Prashara;False
823;Karen;DeSalvo;True
824;Cheryl;Holder;True
825;Joia;Mukherjee;True
826;Julia;Shaw;True
828;Ben;Pring;False
829;Estelle;Gibson;True
830;Sierra;Hull;False
831;David;Witzeneder;False
833;Sara;Jones;True
834;Benjamin;Seibold;False
835;Nitish;Padmanaban;True
836;Anne Marie;Albano;True
837;Georges C.;Benjamin;True
838;Uri;Alon;True
839;Sascha;Morrell;False
840;Kristine;Tompkins;True
841;Charles P.;Smith;True
843;Anne;Basting;True
844;Marah J.;Hardt;True
845;Kristalina;Georgieva;True
847;Amy;Milton;True
848;Beth Ann;Fennelly;False
849;Cella;Wright;False
850;Dean;Furness;True
851;Poet;Ali;True
853;Norma;Pimentel;True
854;Darria;Long;True
855;Kay;Read;False
856;Robin;Steinberg;True
858;Hailey;Hardcastle;True
859;Ricardo;Iacub;False
860;Pardis;Sabeti;True
861;Huang;Hung;True
862;Mike;Davis;False
863;Kade;Crockford;True
864;Rob;Cooke;True
866;Laurel;Braitman;True
867;Jim;Collins;True
869;Skylar;Tibbits;True
871;Daina;Ramey Berry;False
872;Dick M.;Carpenter II;True
873;Stefan;Dombrowski;False
874;Nancy;Lublin;True
875;Larry;Brilliant;True
877;Art???rs;Miksons;False
878;Angel;Chang;False
879;Tom;Rivett-Carnac;True
880;Oliver;Jeffers;True
881;Elizabeth;Camarillo Gutierrez;True
882;Lara;Durgavich;True
883;Ming;Luke;False
884;Jacob;Collier;True
885;Ebony;Roberts;True
888;Diane;Allen;False
889;Heather C.;McGhee;True
890;Nadya;Mason;True
891;George;Zaidan;False
892;Rich????;Richardson;False
893;Janet;Iwasa;True
894;Karin;??????berg;True
895;Fareed;Zakaria;True
896;Gayathri;Vasudevan;True
897;Raj;Panjabi;True
898;Ray;Dalio;True
899;Judy;Grisel;False
900;Marko;Russiver;True
901;Jeannie Suk;Gersen;True
902;Esther;Choo;True
903;Lindsay;Morcom;True
904;Shunan;Teng;False
905;Danielle;Allen;True
907;Yifat;Susskind;True
908;Alexandra;Auer;True
909;Elizabeth;Gilbert;True
910;;Butterscotch;True
911;Ethan;Lisi;True
914;Sonia;Shah;True
915;Mary Ellen;Hannibal;True
916;Todd;Dufresne;False
917;Rabbi Lord Jonathan;Sacks;True
918;Martha;Minow;True
919;Priya;Parker;True
921;Alicia;Malone;False
922;Kathy;Kleinman;False
923;Seth;Berkley;True
924;Hindou;Oumarou Ibrahim;True
925;Gary;Liu;True
927;Noeline;Kirabo;True
929;Johanna;Figueira;True
931;David;Lindell;True
934;Charlie Jane;Anders;True
935;Matteo;Salvadore;False
936;Angie;Murimirwa;True
937;Eric;Sannerud;True
939;Mark;Lytle;False
940;Lucy;Farey-Jones;True
941;Alanna;Shaikh;True
942;Adam;Kucharski;True
943;Gerry;Wright;False
944;Ananya;Grover;True
945;David;Wallace-Wells;True
946;Jim;Hudspeth;True
947;Rosario Perazolo;Masjoan;False
949;Elizabeth;Stordeur Pryor;True
950;Nicola;Jones;True
952;Lisa;Mosconi;True
953;Matt;Cutts;True
955;France;Villarta;True
956;Agnes;Binagwaho;True
957;Matt;Porter;False
958;Kay M.;Tye;True
959;Jill;Seubert;True
960;Jiabao;Li;True
961;David;Heymann;True
963;Chuck;Plunkett;True
965;Ren????e;Lertzman;True
966;Eva;Galperin;True
968;Amanda;Schochet;True
969;Wanjira;Mathai;True
970;Rebecca;Knill;True
971;Sara;Sanford;True
972;Gerd;Gigerenzer;False
973;Fang;Ruan;True
974;Kenny;Coogan;False
975;Kristen;Wenz;True
976;Curtis;Austin;False
977;Diego;Prilusky;True
978;Clarice;Phelps;False
979;Jesse;Byock;False
980;Jennifer;Zhu Scott;True
981;Bill;Schutt;False
982;Mar????a;Neira;True
983;Joel;Leon;True
984;Lauren;Sallan;True
985;Yve;Blake;True
986;Yves;B????har;True
987;Jon;Gray;True
988;Chip;Kidd;True
989;Jennifer 8.;Lee;True
992;A.J.;Jacobs;True
993;Paola;Antonelli;True
995;Raghuram;Rajan;True
996;Noelle;Martin;True
997;Antara;Raychaudhuri;False
998;Victoria;Gill;True
999;Lisa;Godwin;True
